Date,AAPL,BA,CAT,DD,GE,IBM,MSFT,VZ
1/31/2006,0.05035466,-0.027477229,0.180036187,-0.078823493,-0.065620539,-0.010948827,0.076481848,0.064762656
2/28/2006,-0.092967797,0.068600054,0.076288676,0.037273762,0.011178786,-0.010559962,-0.042236151,0.064434622
3/31/2006,-0.084245858,0.072086913,-0.017378284,0.048956189,0.058107698,0.027791668,0.012653479,0.010682274
4/30/2006,0.12228963,0.07083275,0.058077368,0.044776116,-0.005462858,-0.001576388,-0.112458643,-0.018700874
5/31/2006,-0.150873826,0.001016347,-0.03683656,-0.027730822,-0.009540409,-0.026124977,-0.058454549,-0.055101534
6/30/2006,-0.041826858,-0.016096053,0.02097337,-0.021866894,-0.030748386,-0.038548207,0.028697558,0.073053709
7/31/2006,0.186659582,-0.054816327,-0.044325665,-0.046634574,-0.008191748,0.007680331,0.032618026,0.022290911
8/31/2006,-0.001618618,-0.028821576,-0.063778811,0.017317057,0.04190892,0.05016056,0.072096445,0.040212571
9/30/2006,0.134561532,0.052736932,-0.008289315,0.071803757,0.043858147,0.011979752,0.06420235,0.055429232
10/31/2006,0.053260615,0.012809166,-0.073331378,0.069094313,-0.005382398,0.126800085,0.04972572,0.007285654
11/30/2006,0.130488423,0.112498449,0.021742717,0.032751165,0.004841851,-0.001210044,0.026136449,-0.019744738
12/31/2006,-0.074405446,0.003501601,-0.011284822,0.037928804,0.062503411,0.056897331,0.017029974,0.065826978
1/31/2007,0.010490367,0.008104479,0.049933911,0.01745028,-0.031174422,0.020586722,0.03348962,0.045701591
2/28/2007,-0.013064246,-0.021918393,0.00561885,0.031073488,-0.024012657,-0.059807537,-0.084002722,-0.029075756
3/31/2007,0.098097031,0.018909018,0.040353854,-0.025625879,0.012890333,0.014202714,-0.010649612,0.013903949
4/30/2007,0.074157836,0.046001541,0.088101202,-0.005259991,0.042420787,0.084341146,0.074273412,0.017697428
5/31/2007,0.214328642,0.085646158,0.082071021,0.071900001,0.019533406,0.04701053,0.028370694,0.140125535
6/30/2007,0.007013861,-0.044040088,-0.003563217,-0.02828751,0.025979625,-0.012664154,-0.039752402,-0.054215486
7/31/2007,0.079645944,0.075603126,0.010593071,-0.080841833,0.012539181,0.051306425,-0.016287772,0.04530441
8/31/2007,0.051001896,-0.061887293,-0.038451863,0.051231947,0.002837988,0.058315335,-0.005494917,-0.017362614
9/30/2007,0.108246615,0.085729071,0.035106296,0.016615445,0.072276694,0.009512391,0.025408948,0.057306541
10/31/2007,0.237701173,-0.060958192,-0.044244886,-0.001008915,-0.005797159,-0.014261464,0.24949091,0.050368801
11/30/2007,-0.040694874,-0.057990518,-0.036322195,-0.059628535,-0.069727848,-0.091000025,-0.084186728,-0.062079415
12/31/2007,0.087037572,-0.054895194,0.009179353,-0.044637096,-0.023585117,0.02776191,0.059523818,0.011108516
1/31/2008,-0.316639713,-0.048936646,-0.016126272,0.024722138,-0.046128917,-0.009158162,-0.084269639,-0.102334047
2/29/2008,-0.076388878,0.000208909,0.018875961,0.036464078,-0.054250243,0.067083566,-0.162402148,-0.064640729
3/31/2008,0.147816303,-0.101703077,0.082400094,0.007324448,0.11677731,0.01124187,0.043382299,0.003579311
4/30/2008,0.212195158,0.141051465,0.050641629,0.045979477,-0.116454962,0.048289022,0.004933096,0.07293889
5/31/2008,0.085081861,-0.020079002,0.009281899,-0.012277764,-0.0605505,0.076711356,-0.00335712,-0.000259921
6/30/2008,-0.112900612,-0.205992458,-0.106727965,-0.104779867,-0.121531321,-0.084215366,-0.028601704,-0.07980244
7/31/2008,-0.050704684,-0.070146087,-0.052608189,0.021450254,0.059947554,0.0797267,-0.065067247,-0.026604529
8/31/2008,0.066561722,0.079441839,0.01740517,0.023544868,-0.006716151,-0.045131007,0.065273905,0.031727419
9/30/2008,-0.329558176,-0.125228785,-0.157359041,-0.093159347,-0.080337961,-0.039185114,-0.021986067,-0.086275482
10/31/2008,-0.053404911,-0.085963401,-0.352595531,-0.204962708,-0.234901932,-0.205112839,-0.163357064,-0.060452957
11/30/2008,-0.13867459,-0.180648473,0.073036652,-0.206541343,-0.119938496,-0.117390866,-0.088357519,0.100438166
12/31/2008,-0.078989982,0.000938255,0.089777909,0.009577057,-0.038349515,0.031372626,-0.038575606,0.038284752
1/31/2009,0.056004716,-0.008436773,-0.301929087,-0.092490156,-0.25123462,0.088997114,-0.120370418,-0.106012036
2/28/2009,-0.009097991,-0.249423566,-0.202269012,-0.168524506,-0.277818908,0.009608836,-0.049079933,-0.044860992
3/31/2009,0.177023871,0.131679447,0.13612345,0.190298447,0.188014086,0.052808878,0.137461408,0.058535048
4/30/2009,0.197012917,0.125632291,0.288926889,0.249440192,0.251236469,0.065228607,0.102885061,0.018824538
5/31/2009,0.079313378,0.130857413,-0.003372741,0.035533824,0.065612556,0.035123743,0.037643969,-0.035596509
6/30/2009,0.048744577,-0.052396857,-0.068245855,-0.100105382,-0.123407893,-0.017500952,0.137865084,0.050239273
7/31/2009,0.147160013,0.009647058,0.35029405,0.207259974,0.143344726,0.129381372,-0.010517461,0.060057266
8/31/2009,0.029499987,0.168653886,0.028370391,0.045326204,0.037313427,0.005686444,0.053937093,-0.032117386
9/30/2009,0.101896403,0.090195364,0.132862512,0.006576821,0.188284866,0.013214713,0.04340769,-0.024806549
10/31/2009,0.016994908,-0.117266884,0.080437358,-0.009956386,-0.1315469,0.008360513,0.078149341,-0.00682763
11/30/2009,0.060530481,0.106101773,0.060479443,0.09976597,0.123422189,0.052292951,0.065272296,0.063196929
12/31/2009,0.054124377,0.032818181,-0.023976665,-0.026315882,-0.049414817,0.03601104,0.036382151,0.053083119
1/31/2010,-0.088596802,0.119527015,-0.077094032,-0.031481953,0.062789159,-0.065011422,-0.075459299,-0.099148538
2/28/2010,0.0653962,0.04935973,0.09207499,0.047095386,0.004990667,0.043620765,0.022145787,-0.016655121
3/31/2010,0.148470432,0.149620018,0.101665176,0.104389084,0.133250339,0.008571855,0.021625418,0.072243473
4/30/2010,0.111021236,-0.002478987,0.090131087,0.069817372,0.036263777,0.005847952,0.042676699,-0.053939925
5/31/2010,-0.016124692,-0.108760623,-0.107651614,-0.082242516,-0.133085907,-0.024015071,-0.151394375,-0.047750587
6/30/2010,-0.02082688,-0.022281088,-0.011356134,-0.04368257,-0.112443085,-0.014210434,-0.108139494,0.018168344
7/31/2010,0.022740819,0.085896404,0.168878149,0.175773366,0.117891867,0.039844431,0.121686211,0.125900755
8/31/2010,-0.05500482,-0.097425153,-0.065806404,0.01230088,-0.101737078,-0.036291882,-0.085811757,0.016173476
